n_neighbors,min_cluster_size,min_samples,cluster_selection_method,reduce_nr,n_seeds,K,outlier_pre,outlier_post,C_v,Diversity,Exclus,FREX,Stability,Stab_std
10,35,15.0,eom,20,1,19.0,0.1103,0.1103,0.6217,0.9184,0.7922,0.9782,,
10,35,15.0,eom,25,1,24.0,0.1103,0.1103,0.6501,0.9146,0.7648,0.9838,,
10,35,15.0,eom,30,1,29.0,0.1103,0.1103,0.6402,0.8862,0.7188,0.9861,,
10,35,15.0,leaf,10,1,9.0,0.3712,0.3712,0.733,0.9722,0.8903,0.9646,,
10,35,15.0,leaf,15,1,14.0,0.3712,0.3712,0.6094,0.9429,0.8625,0.9808,,
10,35,15.0,leaf,20,1,19.0,0.3712,0.3712,0.6126,0.9421,0.8357,0.9868,,
10,35,15.0,leaf,25,1,24.0,0.3712,0.3712,0.6042,0.9104,0.7815,0.9893,,
10,35,15.0,leaf,30,1,29.0,0.3712,0.3712,0.6461,0.8914,0.7414,0.9908,,
10,35,,eom,10,1,9.0,0.149,0.149,0.7146,0.9444,0.8815,0.9502,,
10,35,,eom,15,1,14.0,0.149,0.149,0.6323,0.9429,0.8343,0.9727,,
10,35,,eom,20,1,19.0,0.149,0.149,0.6325,0.9211,0.7853,0.981,,
10,35,,eom,25,1,24.0,0.149,0.149,0.6182,0.9,0.7498,0.985,,
10,35,,eom,30,1,29.0,0.149,0.149,0.662,0.8759,0.7011,0.9871,,
10,35,,leaf,10,1,9.0,0.4586,0.4586,0.6445,0.9667,0.8929,0.9707,,
10,35,,leaf,15,1,14.0,0.4586,0.4586,0.609,0.9393,0.8499,0.9836,,
10,35,,leaf,20,1,19.0,0.4586,0.4586,0.5845,0.9342,0.8153,0.9884,,
10,35,,leaf,25,1,24.0,0.4586,0.4586,0.6091,0.9083,0.7734,0.9906,,
10,35,,leaf,30,1,29.0,0.4586,0.4586,0.6448,0.8966,0.7345,0.9922,,
10,40,5.0,eom,10,1,9.0,0.1057,0.1057,0.6893,0.9556,0.8881,0.9421,,
10,40,5.0,eom,15,1,14.0,0.1057,0.1057,0.602,0.95,0.8551,0.97,,
10,40,5.0,eom,20,1,19.0,0.1057,0.1057,0.5836,0.9289,0.7912,0.979,,
10,40,5.0,eom,25,1,24.0,0.1057,0.1057,0.5907,0.9083,0.7422,0.9836,,
10,40,5.0,eom,30,1,29.0,0.1057,0.1057,0.6092,0.8741,0.69,0.9862,,
10,40,5.0,leaf,10,1,9.0,0.3289,0.3289,0.6629,0.9556,0.8779,0.9627,,
10,40,5.0,leaf,15,1,14.0,0.3289,0.3289,0.6577,0.9536,0.8679,0.9796,,
10,40,5.0,leaf,20,1,19.0,0.3289,0.3289,0.6372,0.9158,0.8021,0.9851,,
10,40,5.0,leaf,25,1,24.0,0.3289,0.3289,0.5942,0.8917,0.7389,0.9881,,
10,40,5.0,leaf,30,1,29.0,0.3289,0.3289,0.5976,0.8776,0.7041,0.99,,
10,40,15.0,eom,10,1,9.0,0.117,0.117,0.6488,0.9722,0.9083,0.9428,,
10,40,15.0,eom,15,1,14.0,0.117,0.117,0.6583,0.9321,0.8281,0.9681,,
10,40,15.0,eom,20,1,19.0,0.117,0.117,0.6241,0.9158,0.7784,0.9794,,
10,40,15.0,eom,25,1,24.0,0.117,0.117,0.6379,0.9104,0.749,0.9838,,
10,40,15.0,eom,30,1,29.0,0.117,0.117,0.622,0.8793,0.6894,0.9862,,
10,40,15.0,leaf,10,1,9.0,0.3672,0.3672,0.6592,0.9722,0.8988,0.9668,,
10,40,15.0,leaf,15,1,14.0,0.3672,0.3672,0.639,0.9464,0.8648,0.9813,,
