n_neighbors,min_cluster_size,min_samples,cluster_selection_method,reduce_nr,n_seeds,K,outlier_pre,outlier_post,C_v,Diversity,Exclus,FREX,Stability,Stab_std
20,35,,eom,30,1,29.0,0.2302,0.2302,0.572,0.7707,0.4345,0.9858,,
20,35,,leaf,10,1,9.0,0.3517,0.3517,0.5471,0.8444,0.5851,0.9602,,
20,35,,leaf,15,1,14.0,0.3517,0.3517,0.5267,0.8071,0.5071,0.9752,,
20,35,,leaf,20,1,19.0,0.3517,0.3517,0.5638,0.8132,0.4983,0.9817,,
20,35,,leaf,25,1,24.0,0.3517,0.3517,0.586,0.8083,0.4914,0.9855,,
20,35,,leaf,30,1,29.0,0.3517,0.3517,0.5964,0.7948,0.4805,0.9881,,
20,40,,eom,10,1,9.0,0.2272,0.2272,0.5368,0.8333,0.5861,0.9524,,
20,40,,eom,15,1,14.0,0.2272,0.2272,0.5188,0.7929,0.4871,0.9704,,
20,40,,eom,20,1,19.0,0.2272,0.2272,0.5571,0.8026,0.4863,0.9783,,
20,40,,eom,25,1,24.0,0.2272,0.2272,0.5692,0.7812,0.4451,0.9828,,
20,40,,eom,30,1,30.0,0.2272,0.2272,0.5798,0.7617,0.4282,0.9863,,
20,40,,leaf,10,1,9.0,0.3274,0.3274,0.551,0.8556,0.5998,0.959,,
20,40,,leaf,15,1,14.0,0.3274,0.3274,0.5339,0.8214,0.5162,0.9744,,
20,40,,leaf,20,1,19.0,0.3274,0.3274,0.5771,0.8053,0.4943,0.9811,,
20,40,,leaf,25,1,24.0,0.3274,0.3274,0.5874,0.8104,0.5001,0.9851,,
20,40,,leaf,30,1,29.0,0.3274,0.3274,0.6099,0.7966,0.4843,0.9877,,
